title,url,publishedAt
Stock market update: FMCG stocks up as market rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fmcg-stocks-up-as-market-rises/articleshow/112393590.cms,2024-08-09T05:14:56Z
"Bank Nifty prediction today – Aug 9, 2024: Resistance ahead for the index",https://www.thehindubusinessline.com/portfolio/technical-analysis/bank-nifty-prediction-today-9-august-2024/article68504542.ece,2024-08-09T05:13:06Z
Lupin shares rise 2.36 per cent in Friday's trading session,https://economictimes.indiatimes.com/markets/stocks/stock-watch/lupin-shares-rise-2-36-per-cent-in-fridays-trading-session/articleshow/112393519.cms,2024-08-09T05:11:00Z
Shriram Finance shares up 1.77% as Nifty gains,https://economictimes.indiatimes.com/markets/stocks/stock-watch/shriram-finance-shares-up-1-77-as-nifty-gains/articleshow/112393415.cms,2024-08-09T05:05:56Z
Share market update: Most active stocks on D-Street today in terms of volume,https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-market-update-most-active-stocks-on-d-street-today-in-terms-of-volume/articleshow/112393386.cms,2024-08-09T05:04:47Z
"Sensex and Nifty rebound strongly, fuelled by US and Asian market rally",https://www.thehindubusinessline.com/markets/sensex-and-nifty-rebound-strongly-fuelled-by-us-and-asian-market-rally/article68504517.ece,2024-08-09T05:04:18Z
Sensex spurts 714 pts; auto shares in demand,https://www.business-standard.com/markets/capital-market-news/sensex-spurts-714-pts-auto-shares-in-demand-124080900337_1.html,2024-08-09T05:02:00Z
Share market update: Most active stocks of the day in terms of total traded value,https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-market-update-most-active-stocks-of-the-day-in-terms-of-total-traded-value/articleshow/112393279.cms,2024-08-09T04:59:42Z
SRF shares rise 1.78% as Sensex climbs,https://economictimes.indiatimes.com/markets/stocks/stock-watch/srf-shares-rise-1-78-as-sensex-climbs/articleshow/112393173.cms,2024-08-09T04:55:44Z
Stock market update: Sugar stocks up as market rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-sugar-stocks-up-as-market-rises/articleshow/112393140.cms,2024-08-09T04:54:35Z
Rupee rises 8 paise to 83.89 against US dollar in early trade,https://www.thehindubusinessline.com/markets/forex/rupee-rises-8-paise-to-8389-against-us-dollar-in-early-trade/article68504508.ece,2024-08-09T04:53:01Z
Zomato shares up 2.4% as Nifty gains,https://economictimes.indiatimes.com/markets/stocks/stock-watch/zomato-shares-up-2-4-as-nifty-gains/articleshow/112393054.cms,2024-08-09T04:50:37Z
"Nifty Prediction Today – August 09, 2024: Lacks follow-through rise. Go short on a break below the immediate support",https://www.thehindubusinessline.com/portfolio/technical-analysis/nifty-prediction-today-9-august-2024/article68504502.ece,2024-08-09T04:50:15Z
Stock market update: Mining stocks up as market rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-mining-stocks-up-as-market-rises/articleshow/112393010.cms,2024-08-09T04:49:29Z
Rupee rises 8 paise to 83.89 against US dollar during early trade,https://www.business-standard.com/finance/news/rupee-rises-8-paise-to-83-89-against-us-dollar-during-early-trade-124080900267_1.html,2024-08-09T04:46:44Z
Stock market update: Nifty Auto index advances 1.62% in an upbeat market,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-auto-index-advances-1-62-in-an-upbeat-market/articleshow/112392872.cms,2024-08-09T04:44:23Z
Shares of PI Industries rise as Nifty gains,https://economictimes.indiatimes.com/markets/stocks/stock-watch/shares-of-pi-industries-rise-as-nifty-gains/articleshow/112392782.cms,2024-08-09T04:40:22Z
